Client,30 Day Check-in,60 Day Check-in,90 Day Check-in,Activation Date,Assigned AM,Assigned CSA,Average MRR,Billing MRR,Client Code,Client_URL,Contract End Date,Contract Start Date,Customer_ID,Graduation Date,Graduation Status,Last CBR Date,Last Contacted Date,Notes / sentiment,Odin MRR,PSA Web MRR,Payments MRR,Payments Rev Share,Projects,Rev.io Product,Status,Tasks,Tigerpaw MRR,Type
BSB Communications Inc,,,,"September 9, 2026 3:23 AM (EDT)",,Jamie Butler,$425.00,$0.00,,,"September 9, 2026 3:23 AM (EDT)","September 9, 2026 3:23 AM (EDT)",22748,,,"February 28, 2024",,June 2026 retention import from Cohort_Jun26_wo_Payments_7.6.26---70f34bf5-b8e8-4d81-9703-88d2102c7435.xlsx; product-level MRR loaded.,$0.00,$0.00,$0.00,,,Tigerpaw,Active,,$425.00,
"North Carolina Sound of Goldsboro, LLC",,,,"September 9, 2026 3:17 AM (EDT)",jacob.williams,Jakob Champion,"$2,957.57",$0.00,,,"September 9, 2026 3:17 AM (EDT)","September 9, 2026 3:17 AM (EDT)",22135,,,"March 5, 2024",,June 2026 retention import from Cohort_Jun26_wo_Payments_7.6.26---70f34bf5-b8e8-4d81-9703-88d2102c7435.xlsx; product-level MRR loaded.,$0.00,$0.00,$0.00,,,Tigerpaw,Active,,"$2,957.57",
Public Telephone Company,,,,"May 13, 2026 8:00 PM (EDT)",,Katerra Stephenson-Greenwood,"$1,265.70","$1,004.15",PTCOA,PTCOA,"May 12, 2029 8:00 PM (EDT)","May 13, 2026 8:00 PM (EDT)",22929,,,"May 15, 2026",,June 2026 retention import from Cohort_Jun26_wo_Payments_7.6.26---70f34bf5-b8e8-4d81-9703-88d2102c7435.xlsx; product-level MRR loaded.,$0.00,$0.00,$76.90,,,"Billing, Payments",Active,,$0.00,
CallSprout,"April 29, 2026","May 29, 2026","June 28, 2026","October 30, 2018 8:00 PM (EDT)",Rachael Buchtan,Justin Lee,"$2,900.00","$2,550.00","CALLSPROUT, CALLSPROUTPSA","CALLSPROUT, CALLSPROUTPSA","October 30, 2021 8:00 PM (EDT)","October 31, 2018 8:00 PM (EDT)",1237,"March 30, 2026",,"March 9, 2026",,June 2026 retention import from Cohort_Jun26_wo_Payments_7.6.26---70f34bf5-b8e8-4d81-9703-88d2102c7435.xlsx; product-level MRR loaded.,$0.00,$400.00,$0.00,,,"Billing, PSA Web",Active,,$0.00,
Haivision MCS,,,,"September 9, 2026 3:17 AM (EDT)",rinor.berisha,Justin Lee,"$2,783.00",$0.00,,,"September 9, 2026 3:17 AM (EDT)","September 9, 2026 3:17 AM (EDT)",22283,,,,,June 2026 retention import from Cohort_Jun26_wo_Payments_7.6.26---70f34bf5-b8e8-4d81-9703-88d2102c7435.xlsx; product-level MRR loaded.,$0.00,$0.00,$0.00,,,Tigerpaw,Active,,"$3,069.64",
PremCom Corporation,,,,"September 9, 2026 3:17 AM (EDT)",rinor.berisha,,"$2,910.88",$0.00,,,"September 9, 2026 3:17 AM (EDT)","September 9, 2026 3:17 AM (EDT)",22811,,,,,June 2026 retention import from Cohort_Jun26_wo_Payments_7.6.26---70f34bf5-b8e8-4d81-9703-88d2102c7435.xlsx; product-level MRR loaded.,$0.00,$0.00,$0.00,,,Tigerpaw,Active,,"$2,910.88",
"Centerpoint IT, Inc",,,,"September 9, 2026 3:17 AM (EDT)",rinor.berisha,,"$3,091.20",$0.00,,,"September 9, 2026 3:17 AM (EDT)","September 9, 2026 3:17 AM (EDT)",22788,,,"April 22, 2026",,June 2026 retention import from Cohort_Jun26_wo_Payments_7.6.26---70f34bf5-b8e8-4d81-9703-88d2102c7435.xlsx; product-level MRR loaded.,$0.00,$0.00,$98.05,,,Tigerpaw,Active,,"$3,091.20",
iNet Communications,"April 26, 2026","May 26, 2026","June 25, 2026","July 26, 2018 8:00 PM (EDT)",Rachael Buchtan,Katerra Stephenson-Greenwood,"$3,506.49","$3,194.24","INETCOMMUNICATIONS, INETCOMMUNICATIONSPSA","INETCOMMUNICATIONS, INETCOMMUNICATIONSPSA","December 20, 2020 7:00 PM (EST)","December 20, 2017 7:00 PM (EST)",1203,"March 27, 2026",,"February 19, 2026",,June 2026 retention import from Cohort_Jun26_wo_Payments_7.6.26---70f34bf5-b8e8-4d81-9703-88d2102c7435.xlsx; product-level MRR loaded.,$0.00,$0.00,$0.00,,,"Billing, PSA Web",Active,,$0.00,
First Choice Technology,,,,"September 9, 2026 3:17 AM (EDT)",,Katerra Stephenson-Greenwood,"$2,844.84","$2,897.48",FIRSTCHOICE,FIRSTCHOICE,"July 9, 2026 8:00 PM (EDT)","July 10, 2023 8:00 PM (EDT)",20009,,,"April 12, 2023",,June 2026 retention import from Cohort_Jun26_wo_Payments_7.6.26---70f34bf5-b8e8-4d81-9703-88d2102c7435.xlsx; product-level MRR loaded.,$0.00,$0.00,$0.00,,,Billing,Active,,$0.00,
Herring Technology,,,,"September 9, 2026 3:17 AM (EDT)",jacob.williams,Jakob Champion,"$2,846.44",$0.00,,,"September 9, 2026 3:17 AM (EDT)","September 9, 2026 3:17 AM (EDT)",22368,,,"August 13, 2024",,June 2026 retention import from Cohort_Jun26_wo_Payments_7.6.26---70f34bf5-b8e8-4d81-9703-88d2102c7435.xlsx; product-level MRR loaded.,$0.00,$0.00,$0.00,,,Tigerpaw,Active,,"$2,846.44",
Extended Office Solutions,,,,"April 25, 2017 8:00 PM (EDT)",,Jakob Champion,"$2,820.11","$2,784.94",EOSINC,EOSINC,"April 24, 2020 8:00 PM (EDT)","April 25, 2017 8:00 PM (EDT)",1159,,,"May 20, 2026",,June 2026 retention import from Cohort_Jun26_wo_Payments_7.6.26---70f34bf5-b8e8-4d81-9703-88d2102c7435.xlsx; product-level MRR loaded.,$0.00,$0.00,$0.00,,,Billing,Active,,$0.00,
"Doing Things Simply, Inc.",,,,"September 9, 2026 3:17 AM (EDT)",Olivia Sandefur,,"$2,818.80",$0.00,,,"September 9, 2026 3:17 AM (EDT)","September 9, 2026 3:17 AM (EDT)",22456,,,,,June 2026 retention import from Cohort_Jun26_wo_Payments_7.6.26---70f34bf5-b8e8-4d81-9703-88d2102c7435.xlsx; product-level MRR loaded.,$0.00,$0.00,$0.00,,,Tigerpaw,Active,,"$2,818.80",
Voicecentral LLC,,,,"March 8, 2023 7:00 PM (EST)",,,"$2,933.02",,VOICECENTRAL,VOICECENTRAL,"March 7, 2026 7:00 PM (EST)","March 8, 2023 7:00 PM (EST)",1498,,,,,,,,,,,Billing,,,,
The Phone Experts - Communications Ltd.,,,,"September 9, 2026 3:17 AM (EDT)",Olivia Sandefur,,"$3,022.48",$0.00,,,"September 9, 2026 3:17 AM (EDT)","September 9, 2026 3:17 AM (EDT)",22133,,,"July 15, 2026",,June 2026 retention import from Cohort_Jun26_wo_Payments_7.6.26---70f34bf5-b8e8-4d81-9703-88d2102c7435.xlsx; product-level MRR loaded.,$0.00,$0.00,$0.00,,,Tigerpaw,Active,,"$3,022.48",
Savvy Communications,"March 13, 2026","April 12, 2026","May 12, 2026","January 27, 2025 7:00 PM (EST)",Rachael Buchtan,Ingrid Beard,"$2,900.00","$2,500.00","SAVVY, SAVVYPSA","SAVVY, SAVVYPSA","January 26, 2028 7:00 PM (EST)","January 27, 2025 7:00 PM (EST)",21959,"February 11, 2026",Graduated,"February 20, 2026",,June 2026 retention import from Cohort_Jun26_wo_Payments_7.6.26---70f34bf5-b8e8-4d81-9703-88d2102c7435.xlsx; product-level MRR loaded.,$0.00,$400.00,$220.33,,,"Billing, PSA Web",Active,,$0.00,
Custom Tel,,,,"October 31, 2024 8:00 PM (EDT)",,Justin Lee,"$2,564.50","$2,456.96",CUSTOMTEL,CUSTOMTEL,"October 30, 2025 8:00 PM (EDT)","October 31, 2024 8:00 PM (EDT)",21054,,,"May 6, 2026",,June 2026 retention import from Cohort_Jun26_wo_Payments_7.6.26---70f34bf5-b8e8-4d81-9703-88d2102c7435.xlsx; product-level MRR loaded.,$0.00,$0.00,$0.00,,,Billing,Active,,$0.00,
Triware Technologies Incorporated,,,,"September 9, 2026 3:17 AM (EDT)",jacob.williams,Justin Lee,"$3,017.66",$0.00,,,"September 9, 2026 3:17 AM (EDT)","September 9, 2026 3:17 AM (EDT)",22672,,,"July 15, 2026",,June 2026 retention import from Cohort_Jun26_wo_Payments_7.6.26---70f34bf5-b8e8-4d81-9703-88d2102c7435.xlsx; product-level MRR loaded.,$0.00,$0.00,$0.00,,,Tigerpaw,Active,,"$3,171.11",
ASAP Security Services,,,,"September 9, 2026 3:17 AM (EDT)",jacob.williams,Justin Lee,"$2,739.38",$0.00,,,"September 9, 2026 3:17 AM (EDT)","September 9, 2026 3:17 AM (EDT)",22198,,,"June 25, 2026",,June 2026 retention import from Cohort_Jun26_wo_Payments_7.6.26---70f34bf5-b8e8-4d81-9703-88d2102c7435.xlsx; product-level MRR loaded.,$0.00,$0.00,$0.00,,,Tigerpaw,Active,,"$2,739.38",
Triad Telecom,,,,"November 19, 2018 7:00 PM (EST)",Sarah McGovern,Ingrid Beard,"$2,768.94","$2,672.80",TRIADTELECOM,TRIADTELECOM,"November 18, 2021 7:00 PM (EST)","November 19, 2018 7:00 PM (EST)",1241,,,,,June 2026 retention import from Cohort_Jun26_wo_Payments_7.6.26---70f34bf5-b8e8-4d81-9703-88d2102c7435.xlsx; product-level MRR loaded.,$0.00,$0.00,$0.00,,,Billing,Active,,$0.00,
Infinite Conferencing,,,,"December 5, 2024 7:00 PM (EST)",,Ingrid Beard,"$3,441.30","$2,661.32",INFINITE,INFINITE,"December 4, 2027 7:00 PM (EST)","December 5, 2024 7:00 PM (EST)",20027,,,"February 12, 2026",,June 2026 retention import from Cohort_Jun26_wo_Payments_7.6.26---70f34bf5-b8e8-4d81-9703-88d2102c7435.xlsx; product-level MRR loaded.,$0.00,$0.00,$0.00,,,Billing,Active,,$0.00,
Network Signals,,,,"April 22, 2024 8:00 PM (EDT)",Ryan Burton,Katerra Stephenson-Greenwood,"$2,676.15",$0.00,WADDELL,WADDELL,"April 21, 2027 8:00 PM (EDT)","April 22, 2024 8:00 PM (EDT)",21049,,,"March 17, 2026",,June 2026 retention import from Cohort_Jun26_wo_Payments_7.6.26---70f34bf5-b8e8-4d81-9703-88d2102c7435.xlsx; product-level MRR loaded.,$0.00,$0.00,$0.25,,,Billing,Active,,$0.00,
Southern Telecom,,,,"September 9, 2026 3:22 AM (EDT)",,Jakob Champion,$500.00,,SOUTHERNTELECOM,SOUTHERNTELECOM,"September 9, 2026 3:22 AM (EDT)","September 9, 2026 3:22 AM (EDT)",23027,,,,,,,,,,,Billing,,,,
ALD Telecom / GP Voice,,,,"October 31, 2024 8:00 PM (EDT)",,Katerra Stephenson-Greenwood,"$3,182.12",,"ALD_REPORTING, GPVOICE","ALD_REPORTING, GPVOICE","October 30, 2025 8:00 PM (EDT)","October 31, 2024 8:00 PM (EDT)",21058,,,"February 20, 2026",,,,,,,,Billing,,,,
WaveStreet,,,,"July 26, 2023 8:00 PM (EDT)",,Jakob Champion,"$2,681.61","$2,646.18",WAVESTREET,WAVESTREET,"July 25, 2026 8:00 PM (EDT)","July 26, 2023 8:00 PM (EDT)",1509,,,,,June 2026 retention import from Cohort_Jun26_wo_Payments_7.6.26---70f34bf5-b8e8-4d81-9703-88d2102c7435.xlsx; product-level MRR loaded.,$0.00,$0.00,$0.00,,,Billing,Active,,$0.00,
NetX Inc,,,,"September 9, 2026 3:17 AM (EDT)",Olivia Sandefur,Ingrid Beard,"$2,633.40",$0.00,,,"September 9, 2026 3:17 AM (EDT)","September 9, 2026 3:17 AM (EDT)",22378,,,,,June 2026 retention import from Cohort_Jun26_wo_Payments_7.6.26---70f34bf5-b8e8-4d81-9703-88d2102c7435.xlsx; product-level MRR loaded.,$0.00,$0.00,$0.00,,,Tigerpaw,Active,,"$2,633.40",
"TRACI.net, Inc.",,,,"November 30, 2021 7:00 PM (EST)",,Justin Lee,"$2,610.38",,TRACINET,TRACINET,"November 29, 2024 7:00 PM (EST)","November 30, 2021 7:00 PM (EST)",1407,,,"October 13, 2022",,,,,,,,"Billing, Payments",,,,
"Galaxy Integrated Technologies , Inc.",,,,"September 9, 2026 3:17 AM (EDT)",rinor.berisha,,"$2,792.70",,,,"September 9, 2026 3:17 AM (EDT)","September 9, 2026 3:17 AM (EDT)",22350,,,,,,,,,,,Tigerpaw,Active,,,
Class 5 Technologies,,,,"May 30, 2024 8:00 PM (EDT)",Ryan Burton,Jakob Champion,"$2,550.68","-$4,000.00","CLASS5, CLASS5PSA","CLASS5, CLASS5PSA","May 29, 2027 8:00 PM (EDT)","May 30, 2024 8:00 PM (EDT)",21043,,,,,June 2026 retention import from Cohort_Jun26_wo_Payments_7.6.26---70f34bf5-b8e8-4d81-9703-88d2102c7435.xlsx; product-level MRR loaded.,$0.00,-$500.00,$36.58,,,"Billing, PSA Web",Active,,$0.00,
RyTel,,,,"May 28, 2020 8:00 PM (EDT)",rinor.berisha,Ingrid Beard,"$2,912.20","$2,606.30",RYTEL,RYTEL,"October 14, 2026 8:00 PM (EDT)","October 15, 2025 8:00 PM (EDT)",1359,,NKO,"September 19, 2024",,June 2026 retention import from Cohort_Jun26_wo_Payments_7.6.26---70f34bf5-b8e8-4d81-9703-88d2102c7435.xlsx; product-level MRR loaded.,$0.00,$0.00,$463.13,,,"Billing, Payments",Active,,$0.00,
Nutec Electro-Tel,,,,"September 9, 2026 3:17 AM (EDT)",Sarah McGovern,Justin Lee,"$2,686.00",$0.00,,,"September 9, 2026 3:17 AM (EDT)","September 9, 2026 3:17 AM (EDT)",22258,,,"September 15, 2025",,June 2026 retention import from Cohort_Jun26_wo_Payments_7.6.26---70f34bf5-b8e8-4d81-9703-88d2102c7435.xlsx; product-level MRR loaded.,$0.00,$0.00,$0.00,,,Tigerpaw,Active,,"$2,686.00",
Starfish Computer Company,,,,"September 9, 2026 3:17 AM (EDT)",jacob.williams,Jakob Champion,"$2,541.08",$0.00,,,"September 9, 2026 3:17 AM (EDT)","September 9, 2026 3:17 AM (EDT)",22187,,,,,June 2026 retention import from Cohort_Jun26_wo_Payments_7.6.26---70f34bf5-b8e8-4d81-9703-88d2102c7435.xlsx; product-level MRR loaded.,$0.00,$0.00,$0.00,,,Tigerpaw,Active,,"$2,541.08",
Peerless Energy Systems,,,,"September 9, 2026 3:17 AM (EDT)",jacob.williams,Ingrid Beard,"$2,579.76",$0.00,,,"September 9, 2026 3:17 AM (EDT)","September 9, 2026 3:17 AM (EDT)",22128,,,"June 22, 2026",,June 2026 retention import from Cohort_Jun26_wo_Payments_7.6.26---70f34bf5-b8e8-4d81-9703-88d2102c7435.xlsx; product-level MRR loaded.,$0.00,$0.00,$0.00,,,Tigerpaw,Active,,"$2,579.76",
Net Tel One Communications,,,,"April 29, 2019 8:00 PM (EDT)",,Ingrid Beard,"$2,362.90","$2,362.96",NETTELONE,NETTELONE,"December 7, 2025 7:00 PM (EST)","December 8, 2024 7:00 PM (EST)",1250,,,"September 6, 2023",,June 2026 retention import from Cohort_Jun26_wo_Payments_7.6.26---70f34bf5-b8e8-4d81-9703-88d2102c7435.xlsx; product-level MRR loaded.,$0.00,$0.00,$0.00,,,Billing,Active,,$0.00,
Guest Tek Interactive Entertainment Inc,,,,"December 26, 2016 7:00 PM (EST)",,,"$2,500.00",,GUESTTEK,GUESTTEK,"September 9, 2026 3:17 AM (EDT)","September 9, 2026 3:17 AM (EDT)",1153,,,,,,,,,,,Billing,,,,
Wyoming.com,,,,"May 27, 2026 8:00 PM (EDT)",,Katerra Stephenson-Greenwood,"$4,890.02",$500.00,"WYOMINGCOM, WYOMINGCOMPSA","WYOMINGCOM, WYOMINGCOMPSA","May 26, 2029 8:00 PM (EDT)","May 27, 2026 8:00 PM (EDT)",22969,,On Hold - Billing,,,June 2026 retention import from Cohort_Jun26_wo_Payments_7.6.26---70f34bf5-b8e8-4d81-9703-88d2102c7435.xlsx; product-level MRR loaded.,$0.00,$0.00,$34.99,,,"Billing, PSA Web",Active,,$0.00,
Fusion Security Inc.,,,,"September 9, 2026 3:17 AM (EDT)",Blaine Villafuerte,,"$2,892.03",$0.00,,,"September 9, 2026 3:17 AM (EDT)","September 9, 2026 3:17 AM (EDT)",22421,,,"March 3, 2026",,June 2026 retention import from Cohort_Jun26_wo_Payments_7.6.26---70f34bf5-b8e8-4d81-9703-88d2102c7435.xlsx; product-level MRR loaded.,$0.00,$0.00,$0.00,,,Tigerpaw,Active,,"$3,030.33",
GymPhone,,,,"May 31, 2017 8:00 PM (EDT)",,Justin Lee,"$1,910.52","$1,917.73",GYMPHONE,GYMPHONE,"July 7, 2022 8:00 PM (EDT)","July 8, 2021 8:00 PM (EDT)",1174,,,"April 10, 2026",,June 2026 retention import from Cohort_Jun26_wo_Payments_7.6.26---70f34bf5-b8e8-4d81-9703-88d2102c7435.xlsx; product-level MRR loaded.,$0.00,$0.00,$0.00,,,Billing,Active,,$0.00,
Glessner Alarm & Communication,,,,"September 9, 2026 3:17 AM (EDT)",Blaine Villafuerte,Katerra Stephenson-Greenwood,"$2,528.00",$0.00,,,"September 9, 2026 3:17 AM (EDT)","September 9, 2026 3:17 AM (EDT)",22763,,,"July 22, 2025",,June 2026 retention import from Cohort_Jun26_wo_Payments_7.6.26---70f34bf5-b8e8-4d81-9703-88d2102c7435.xlsx; product-level MRR loaded.,$0.00,$0.00,$610.45,,,Tigerpaw,Active,,"$2,528.00",
Cybertex Solutions Inc.,,,,"March 6, 2025 7:00 PM (EST)",,,"$1,029.99","$1,004.00",CYBERTEXSOLUTIONS,CYBERTEXSOLUTIONS,"March 5, 2028 7:00 PM (EST)","March 6, 2025 7:00 PM (EST)",21974,,,"January 15, 2026",,June 2026 retention import from Cohort_Jun26_wo_Payments_7.6.26---70f34bf5-b8e8-4d81-9703-88d2102c7435.xlsx; product-level MRR loaded.,$0.00,$0.00,$0.00,,,Billing,Active,,$0.00,
"Advantage Computer Enterprises, Inc.",,,,"September 9, 2026 3:17 AM (EDT)",rinor.berisha,,"$2,576.00",$0.00,,,"September 9, 2026 3:17 AM (EDT)","September 9, 2026 3:17 AM (EDT)",22649,,,,,June 2026 retention import from Cohort_Jun26_wo_Payments_7.6.26---70f34bf5-b8e8-4d81-9703-88d2102c7435.xlsx; product-level MRR loaded.,$0.00,$0.00,$0.00,,,Tigerpaw,Active,,"$2,576.00",
Virtual Guardians,,,,"January 14, 2025 7:00 PM (EST)",,Justin Lee,"$2,272.93","$2,301.90",VIRTUALGUARDIANS,VIRTUALGUARDIANS,"January 13, 2028 7:00 PM (EST)","January 14, 2025 7:00 PM (EST)",21069,,,"April 6, 2026",,June 2026 retention import from Cohort_Jun26_wo_Payments_7.6.26---70f34bf5-b8e8-4d81-9703-88d2102c7435.xlsx; product-level MRR loaded.,$0.00,$0.00,$115.06,,,Billing,Active,,$0.00,
CC-Teknologies Inc.,,,,"September 9, 2026 3:17 AM (EDT)",Sarah McGovern,Justin Lee,"$2,485.39",$0.00,,,"September 9, 2026 3:17 AM (EDT)","September 9, 2026 3:17 AM (EDT)",22285,,,"March 21, 2025",,June 2026 retention import from Cohort_Jun26_wo_Payments_7.6.26---70f34bf5-b8e8-4d81-9703-88d2102c7435.xlsx; product-level MRR loaded.,$0.00,$0.00,$0.00,,,Tigerpaw,Active,,"$2,374.62",
Synectic Technologies,,,,"September 9, 2026 3:17 AM (EDT)",rinor.berisha,Jakob Champion,"$2,370.00",$0.00,,,"September 9, 2026 3:17 AM (EDT)","September 9, 2026 3:17 AM (EDT)",22087,,,"July 18, 2024",,June 2026 retention import from Cohort_Jun26_wo_Payments_7.6.26---70f34bf5-b8e8-4d81-9703-88d2102c7435.xlsx; product-level MRR loaded.,$0.00,$0.00,$0.00,,,Tigerpaw,Active,,"$2,370.00",
"SK Technology Group, Inc.",,,,"September 9, 2026 3:23 AM (EDT)",,Jakob Champion,$409.50,$0.00,,,"September 9, 2026 3:23 AM (EDT)","September 9, 2026 3:23 AM (EDT)",22191,,,,,June 2026 retention import from Cohort_Jun26_wo_Payments_7.6.26---70f34bf5-b8e8-4d81-9703-88d2102c7435.xlsx; product-level MRR loaded.,$0.00,$0.00,$0.00,,,Tigerpaw,Active,,$409.50,
DTS Technology,,,,"December 29, 2022 7:00 PM (EST)",,Jakob Champion,"$2,374.87","$2,993.63","DTS, DTSRESELLER","DTS, DTSRESELLER","December 28, 2025 7:00 PM (EST)","December 29, 2022 7:00 PM (EST)",1495,,,"May 19, 2023",,June 2026 retention import from Cohort_Jun26_wo_Payments_7.6.26---70f34bf5-b8e8-4d81-9703-88d2102c7435.xlsx; product-level MRR loaded.,$0.00,$0.00,$364.73,,,Billing,Active,,$0.00,
Chicago Business VoIP,,,,"February 27, 2015 7:00 PM (EST)",,Katerra Stephenson-Greenwood,"$2,316.90","$2,484.27",CBV,CBV,"September 9, 2026 3:18 AM (EDT)","September 9, 2026 3:18 AM (EDT)",1072,,,"April 9, 2026",,June 2026 retention import from Cohort_Jun26_wo_Payments_7.6.26---70f34bf5-b8e8-4d81-9703-88d2102c7435.xlsx; product-level MRR loaded.,$0.00,$0.00,$122.07,,,Billing,Active,,$0.00,
Rhode Island Telephone,,,,"March 12, 2026 8:00 PM (EDT)",Sarah McGovern,Ingrid Beard,"$4,593.09","$4,265.91",RHODEISLANDTELEPHONE,RHODEISLANDTELEPHONE,"March 11, 2029 8:00 PM (EDT)","March 12, 2026 8:00 PM (EDT)",22902,,,,,June 2026 retention import from Cohort_Jun26_wo_Payments_7.6.26---70f34bf5-b8e8-4d81-9703-88d2102c7435.xlsx; product-level MRR loaded.,$0.00,$0.00,$0.00,,,Billing,Active,,$0.00,
Access 411,,,,"September 9, 2026 3:18 AM (EDT)",Olivia Sandefur,Ingrid Beard,"$2,270.48",$0.00,,,"September 9, 2026 3:18 AM (EDT)","September 9, 2026 3:18 AM (EDT)",22171,,,"October 10, 2024",,June 2026 retention import from Cohort_Jun26_wo_Payments_7.6.26---70f34bf5-b8e8-4d81-9703-88d2102c7435.xlsx; product-level MRR loaded.,$0.00,$0.00,$0.00,,,Tigerpaw,Active,,"$2,270.48",
Fusion Digital,,,,"September 9, 2026 3:17 AM (EDT)",Blaine Villafuerte,Ingrid Beard,"$2,356.00",$0.00,,,"September 9, 2026 3:17 AM (EDT)","September 9, 2026 3:17 AM (EDT)",22482,,,"July 10, 2025",,June 2026 retention import from Cohort_Jun26_wo_Payments_7.6.26---70f34bf5-b8e8-4d81-9703-88d2102c7435.xlsx; product-level MRR loaded.,$0.00,$0.00,$0.00,,,Tigerpaw,Active,,"$2,356.00",
Click Computers,,,,"June 19, 2024 8:00 PM (EDT)",Sarah McGovern,,"$2,279.26","$2,271.07",CLICK,CLICK,"June 18, 2027 8:00 PM (EDT)","June 19, 2024 8:00 PM (EDT)",21062,,,"January 12, 2026",,June 2026 retention import from Cohort_Jun26_wo_Payments_7.6.26---70f34bf5-b8e8-4d81-9703-88d2102c7435.xlsx; product-level MRR loaded.,$0.00,$0.00,$0.00,,,Billing,Active,,$0.00,
WIRED Telcom,,,,"April 11, 2018 8:00 PM (EDT)",,,"$2,274.48","$2,250.00",WIREDTELCOM,WIREDTELCOM,"April 10, 2021 8:00 PM (EDT)","April 11, 2018 8:00 PM (EDT)",1209,,,,,June 2026 retention import from Cohort_Jun26_wo_Payments_7.6.26---70f34bf5-b8e8-4d81-9703-88d2102c7435.xlsx; product-level MRR loaded.,$0.00,$0.00,$0.00,,,"Billing, Payments",Active,,$0.00,
"Gazelle Telecommunications, Inc.",,,,"July 28, 2021 8:00 PM (EDT)",,,"$2,273.20",,GAZELLETEL,GAZELLETEL,"July 27, 2026 8:00 PM (EDT)","July 28, 2025 8:00 PM (EDT)",1396,,,,,,,,,,,"Billing, Payments",,,,
TLX,,,,"September 30, 2024 8:00 PM (EDT)",,Ingrid Beard,"$2,260.52","$2,259.07",TLX,TLX,"September 29, 2027 8:00 PM (EDT)","September 30, 2024 8:00 PM (EDT)",21951,,,,,June 2026 retention import from Cohort_Jun26_wo_Payments_7.6.26---70f34bf5-b8e8-4d81-9703-88d2102c7435.xlsx; product-level MRR loaded.,$0.00,$0.00,$0.00,,,Billing,Active,,$0.00,
Decibel,,,,"May 1, 2022 8:00 PM (EDT)",Rachael Buchtan,,"$2,250.00","$2,250.00",DECIBEL,DECIBEL,"May 19, 2028 8:00 PM (EDT)","May 20, 2025 8:00 PM (EDT)",1414,,,,,June 2026 retention import from Cohort_Jun26_wo_Payments_7.6.26---70f34bf5-b8e8-4d81-9703-88d2102c7435.xlsx; product-level MRR loaded.,$0.00,$0.00,$68.90,,,Billing,Active,,$0.00,
"DirecTech Connect, Inc.",,,,"October 29, 2025 8:00 PM (EDT)",,,"$2,284.09","$2,250.00",DIRECTECH,DIRECTECH,"October 28, 2028 8:00 PM (EDT)","October 29, 2025 8:00 PM (EDT)",22830,,,,,June 2026 retention import from Cohort_Jun26_wo_Payments_7.6.26---70f34bf5-b8e8-4d81-9703-88d2102c7435.xlsx; product-level MRR loaded.,$0.00,$0.00,$121.46,,,"Billing, Payments",Active,,$0.00,
Constellation Telecom LLC,,,,"December 14, 2023 7:00 PM (EST)",,,"$2,461.35","$2,470.82",CONSTELLATION,CONSTELLATION,"December 13, 2026 7:00 PM (EST)","December 14, 2023 7:00 PM (EST)",21040,,,"April 10, 2026",,June 2026 retention import from Cohort_Jun26_wo_Payments_7.6.26---70f34bf5-b8e8-4d81-9703-88d2102c7435.xlsx; product-level MRR loaded.,$0.00,$0.00,$0.00,,,Billing,Active,,$0.00,
Aldeberan,,,,"September 9, 2026 3:18 AM (EDT)",Olivia Sandefur,Ingrid Beard,"$2,221.46",$0.00,,,"September 9, 2026 3:18 AM (EDT)","September 9, 2026 3:18 AM (EDT)",22163,,,"July 11, 2025",,June 2026 retention import from Cohort_Jun26_wo_Payments_7.6.26---70f34bf5-b8e8-4d81-9703-88d2102c7435.xlsx; product-level MRR loaded.,$0.00,$0.00,$0.00,,,Tigerpaw,Active,,"$2,221.46",
Cielo,,,,"June 18, 2023 8:00 PM (EDT)",,Ingrid Beard,"$2,330.57","$2,318.98",CIELO,CIELO,"June 17, 2026 8:00 PM (EDT)","June 18, 2023 8:00 PM (EDT)",21004,,,"July 14, 2025",,June 2026 retention import from Cohort_Jun26_wo_Payments_7.6.26---70f34bf5-b8e8-4d81-9703-88d2102c7435.xlsx; product-level MRR loaded.,$0.00,$0.00,$64.22,,,Billing,Active,,$0.00,
Madrona Digital,,,,"September 9, 2026 3:17 AM (EDT)",jacob.williams,Katerra Stephenson-Greenwood,"$2,438.60",$0.00,,,"September 9, 2026 3:17 AM (EDT)","September 9, 2026 3:17 AM (EDT)",22362,,,"September 23, 2024",,June 2026 retention import from Cohort_Jun26_wo_Payments_7.6.26---70f34bf5-b8e8-4d81-9703-88d2102c7435.xlsx; product-level MRR loaded.,$0.00,$0.00,$0.00,,,Tigerpaw,Active,,"$2,404.84",
The Technology Depot,,,,"July 27, 2023 8:00 PM (EDT)",,Justin Lee,"$2,280.82","$2,201.35",TECHNOLOGYDEPOT,TECHNOLOGYDEPOT,"July 26, 2026 8:00 PM (EDT)","July 27, 2023 8:00 PM (EDT)",1395,,,"June 17, 2026",,June 2026 retention import from Cohort_Jun26_wo_Payments_7.6.26---70f34bf5-b8e8-4d81-9703-88d2102c7435.xlsx; product-level MRR loaded.,$0.00,$0.00,$5.49,,,Billing,Active,,$0.00,
